Inwards,Total,214.7,218.1,221.4,234.5,245.9,257.2,258.9,266.4,279.8,272.7,229.8,235.5,224.0,226.8,239.3,213.2,222.8,208.2,214.7,217.5,236.3,234.7,238.7,246.6,270.2,273.7,278.4,273.6,269.8,272.7,281.9,284.9,287.7,295.0,306.1,307.0,316.3,328.9,320.5,323.4,342.1,354.0,364.7,357.8,346.4,303.7,312.6,327.6,319.5,325.9,325.5,314.2,303.1,300.9,310.1,312.1,279.1,291.9,304.3
Outwards,Total,104.6,106.4,103.4,106.8,108.7,112.8,109.3,110.3,119.7,118.1,110.3,124.9,146.2,165.7,187.5,198.8,201.3,207.8,215.4,221.1,220.7,228.2,227.8,225.0,221.9,207.1,213.6,221.0,225.9,233.5,256.2,263.3,263.5,263.5,262.4,258.7,256.7,237.5,237.5,231.9,230.6,230.5,218.6,223.7,215.8,197.2,199.2,191.9,181.4,177.4,177.7,182.5,180.9,180.9,173.2,170.4,159.8,153.8,154.7
All,Total,319.2,324.5,324.8,341.3,354.6,370,368.2,376.7,399.5,390.8,340.1,360.3,370.2,392.4,426.8,412,424.1,416.1,430.1,438.5,456.9,462.9,466.5,471.6,492.1,480.9,492.0,494.6,495.7,506.2,538.1,548.2,551.2,558.5,568.5,565.6,573.1,566.4,557.9,555.3,572.8,584.5,583.3,581.5,562.2,500.9,511.9,519.5,500.9,503.3,503.2,496.7,484.0,481.8,483.3,482.5,438.9,445.7,458.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
